address,price,extPrice,area,room,toilet,hDirection,bDirection
"Phố Lê Thanh Nghị, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng","12,2 tỷ","~174,29 triệu/m²",70 m²,4 phòng,,4 tầng,4 phòng
"Phố Lê Thanh Nghị, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng","12,5 tỷ","~154,32 triệu/m²",81 m²,4 phòng,,3 tầng,4 phòng
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,140 m²,Sổ đỏ/ Sổ hồng.,,10 m,7.5 m
"Phố Lê Thanh Nghị, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng","10,5 tỷ",~150 triệu/m²,70 m²,4 phòng,,3 tầng,4 phòng
"Dự án FPT City Đà Nẵng, Đường Ngũ Hành Sơn, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",3 tỷ,"~20,83 triệu/m²",144 m²,Sổ đỏ/ Sổ hồng,,6 m,7.5 m
"Phố Lê Thanh Nghị, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng","12,5 tỷ","~143,68 triệu/m²",87 m²,4 phòng,,4 tầng,4 phòng
"Đường Thanh Lương 17, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng","6,8 tỷ",~34 triệu/m²,200 m²,Đông - Nam,Sổ đỏ/ Sổ hồng.,10 m,7.5 m
"Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng","2,05 tỷ","~21,72 triệu/m²","94,4 m²",1 tầng,1 phòng,3 m,Đông - Nam
"Đường Tôn Thất Đạm, Phường Xuân Hà, Thanh Khê, Đà Nẵng","11,5 tỷ","~127,78 triệu/m²",90 m²,Đông,Đông,4.5 m,10.5 m
"Đường Lý Tự Trọng, Phường Thạch Thang, Hải Châu, Đà Nẵng",10 tỷ,~125 triệu/m²,80 m²,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"Đường Bầu Năng 10, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","3,5 tỷ","~41,18 triệu/m²",85 m²,Tây - Bắc,1 tầng,5 m,5.5 m
"Đường Bùi Huy Bích, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng","3,55 tỷ","~49,31 triệu/m²",72 m²,Đông - Nam,2 tầng,4 m,5.5 m
